iter	Passed	Remaining
0	161	160856
1	161	80775
2	162	54024
3	163	40755
4	164	32712
5	165	27350
6	165	23517
7	166	20657
8	167	18415
9	167	16627
10	168	15157
11	169	13934
12	169	12905
13	170	12037
14	171	11279
15	172	10607
16	173	10012
17	173	9482
18	174	9007
19	175	8586
20	176	8205
21	176	7859
22	177	7541
23	178	7245
24	178	6972
25	179	6722
26	180	6492
27	180	6276
28	181	6074
29	182	5884
30	182	5709
31	183	5546
32	184	5392
33	184	5248
34	185	5110
35	186	4980
36	186	4857
37	187	4743
38	188	4635
39	188	4531
40	189	4432
41	190	4339
42	190	4249
43	191	4166
44	192	4089
45	193	4010
46	194	3934
47	194	3861
48	195	3792
49	196	3727
50	196	3664
51	197	3601
52	198	3541
53	198	3483
54	199	3431
55	200	3378
56	201	3327
57	201	3277
58	202	3228
59	203	3180
60	203	3134
61	204	3089
62	204	3047
63	205	3006
64	206	2966
65	206	2927
66	207	2890
67	207	2849
68	208	2813
69	209	2778
70	209	2745
71	210	2712
72	211	2681
73	212	2654
74	213	2627
75	213	2598
76	214	2570
77	215	2543
78	215	2517
79	216	2493
80	217	2468
81	218	2443
82	219	2419
83	219	2396
84	220	2370
85	220	2348
86	221	2323
87	222	2301
88	222	2280
89	223	2259
90	224	2237
91	224	2217
92	225	2197
93	225	2178
94	226	2160
95	227	2141
96	228	2122
97	228	2105
98	229	2087
99	230	2070
100	230	2053
101	231	2033
102	231	2017
103	232	2001
104	232	1985
105	233	1969
106	234	1954
107	234	1940
108	235	1926
109	236	1914
110	237	1900
111	238	1887
112	238	1873
113	239	1859
114	239	1845
115	240	1831
116	241	1819
117	241	1806
118	242	1792
119	242	1780
120	243	1768
121	244	1756
122	244	1743
123	245	1731
124	245	1720
125	246	1708
126	246	1697
127	247	1685
128	248	1676
129	248	1666
130	249	1656
131	250	1646
132	251	1636
133	251	1626
134	252	1616
135	253	1607
136	253	1597
137	254	1587
138	254	1578
139	255	1569
140	256	1560
141	256	1551
142	257	1542
143	258	1535
144	259	1527
145	259	1519
146	260	1514
147	261	1506
148	262	1498
149	263	1491
150	263	1484
151	264	1476
152	265	1469
153	266	1462
154	266	1455
155	267	1447
156	268	1440
157	268	1433
158	269	1425
159	270	1418
160	270	1411
161	271	1403
162	272	1397
163	273	1391
164	273	1385
165	274	1379
166	275	1372
167	275	1365
168	276	1359
169	277	1353
170	277	1346
171	278	1340
172	279	1335
173	279	1328
174	280	1323
175	281	1317
176	282	1312
177	283	1307
178	283	1302
179	285	1298
180	285	1291
181	286	1286
182	286	1280
183	287	1274
184	288	1269
185	288	1263
186	289	1258
187	290	1252
188	290	1247
189	291	1241
190	291	1236
191	292	1230
192	293	1225
193	293	1220
194	294	1216
195	295	1211
196	295	1206
197	296	1201
198	297	1197
199	298	1192
200	298	1188
201	299	1183
202	300	1178
203	300	1173
204	301	1169
205	302	1164
206	302	1160
207	303	1155
208	304	1151
209	305	1147
210	305	1143
211	306	1138
212	307	1134
213	307	1129
214	308	1125
215	309	1123
216	310	1119
217	310	1115
218	311	1110
219	312	1107
220	312	1103
221	313	1099
222	314	1095
223	315	1091
224	315	1087
225	316	1084
226	317	1080
227	317	1075
228	318	1071
229	318	1067
230	319	1064
231	320	1060
232	321	1056
233	321	1053
234	322	1050
235	323	1047
236	324	1043
237	324	1039
238	325	1036
239	325	1032
240	326	1028
241	327	1024
242	327	1021
243	328	1017
244	328	1013
245	329	1010
246	330	1007
247	331	1003
248	331	1000
249	332	996
